359045,Patient,Illness,Schizophrenia,Disease,,
Persecutory_delusions,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
Sensitivity,Symptoms,Corresponds_to,Sensory_enhancement,Signs,,
Paranoia,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
Sensitive_and_paranoid,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
Agitation,Symptoms,Corresponds_to,Anxiety,Signs,,
Feel_like_someone_is_watching_you,Symptoms,Corresponds_to,Psychic_hallucinations,Signs,,
Feeling_like_someone_is_dizzy,Symptoms,Corresponds_to,Phantom_Touch,Signs,,
Feel_like_someone_is_beating_you,Symptoms,Corresponds_to,Phantom_Touch,Signs,,
The_spirit_can,Symptoms,Corresponds_to,Mental_state_disorders,Signs,,
Eat_Naco,Symptoms,Corresponds_to,dysphagia,Signs,,
Poor_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Normal_defecation,Symptoms,Corresponds_to,Defecation_disorders,Signs,,
No_significant_weight_loss_recently,Symptoms,Corresponds_to,Near-term_weight_disability,Signs,,
Hear_sounds_out_of_thin_air,Symptoms,Corresponds_to,Phantom,Signs,,
Persecutory_delusions,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
No_high_emotions,Symptoms,Corresponds_to,Emotions_running_high,Signs,,
Unconscious,Symptoms,Corresponds_to,disorder_of_consciousness,Signs,,
No_forced_behavior,Symptoms,Corresponds_to,obsessive_intention,Signs,,
Shoulder_joint_pain,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
knee_pain,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
migratory_abdominal_pain,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_dizziness,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_headache,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_cough,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_expectoration,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Clear_consciousness,Symptoms,Corresponds_to,disorder_of_consciousness,Signs,,
Correct_orientation,Symptoms,Corresponds_to,Disorientation,Signs,,
contact_passive,Symptoms,Corresponds_to,Barriers_to_access,Signs,,
Answers_to_the_point,Symptoms,Corresponds_to,Answering_obstacles,Signs,,
Don’t_want_to_expose_your_true_inner_experience,Symptoms,Corresponds_to,barriers_to_real_experience,Signs,,
Completely_without_self-awareness,Symptoms,Corresponds_to,lack_of_insight,Signs,,
Irritability,Symptoms,Corresponds_to,Irritability,Signs,,
contact_passive,Symptoms,Corresponds_to,Barriers_to_access,Signs,,
Completely_without_self-awareness,Symptoms,Corresponds_to,lack_of_insight,Signs,,
Delusions_of_persecution,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
suspicious_vision,Symptoms,Corresponds_to,Visual_hallucinations,Signs,,
Suspicious_hallucination,Symptoms,Corresponds_to,Phantom_Touch,Signs,,
Suspicious_auditory_hallucinations,Symptoms,Corresponds_to,Phantom,Signs,,
Do_not_want_to_expose_ideas,Symptoms,Corresponds_to,barriers_to_real_experience,Signs,,
Extremely_vigilant,Symptoms,Corresponds_to,Sensory_enhancement,Signs,,
hidden_thoughts,Symptoms,Corresponds_to,barriers_to_real_experience,Signs,,
Delusions_of_persecution,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
suspicious_vision,Symptoms,Corresponds_to,Visual_hallucinations,Signs,,
Suspicious_hallucination,Symptoms,Corresponds_to,Phantom_Touch,Signs,,
Suspicious_auditory_hallucinations,Symptoms,Corresponds_to,Phantom,Signs,,
Paranoid_obsession,Symptoms,Corresponds_to,manic_arousal,Signs,,
